Category,Ciphertext,Type
Base64,T24gT2N0b2JlciAxNSwgMjAyMCwgSWFpbiBBcm1pdGFnZSwgTWFyc2FpIE1hcnRpbiwgWWFyYSBTaGFoaWRpLCBLaW0gS2FyZGFzaGlhbiwgUmFuZGFsbCBQYXJrLCBEYXggU2hlcGFyZCwgVHlsZXIgUGVycnksIEppbW15IEtpbW1lbCB3ZXJlIGFubm91bmNlZCBhcyBwYXJ0IG9mIHRoZSBjYXN0LiBPbiBNYXkgMywgMjAyMSwgdGhlIGNhc3QgYW5kIGNoYXJhY3RlcnMgd2VyZSBhbm5vdW5jZWQuIEFkYW0gTGV2aW5lLCBQZXJyeSBhbmQgS2FyZGFzaGlhbiBqb2luZWQgdGhlIGNhc3QgYmVjYXVzZSB0aGVpciByZXNwZWN0aXZlIGNoaWxkcmVuIHdlcmUgZmFucyBvZiB0aGUgc2hvdy4gRm9yIHRoZSByb2xlIG9mIFJ5ZGVyLCBtb3JlIHRoYW4gMSwwMDAgcGVvcGxlIGF1ZGl0aW9uZWQgYmVmb3JlIFdpbGwgQnJpc2JpbiBhIDE1LXllYXJzIG9sZCBhY3RvciBmcm9tIFNoZXJ3b29kIFBhcmssIEFsYmVydGEsIENhbmFkYSwgZ290IHRoZSByb2xlLg==,0
Base64,RG9kZ2UgU2FpZCwgIkZvciBVcywgSXQgV2FzIEltcG9ydGFudCBUbyBCZSBBYmxlIFRvIFRlbGwgQSBEZWVwZXIgQ2hhcmFjdGVyIFN0b3J5IFRoYW4gV2hhdCBUaGV5J3ZlIEJlZW4gQWJsZSBUbyBEbyBXaXRoIFRoZSBTZXJpZXMuIiBTaGUgQWxzbyBFeHBsYWluZWQsICJBbmQgVG8gVGVsbCBJdCBJbiBBIFdheSBUaGF0IEEgQ2hpbGQgUmVhbGx5IENhbiBVbmRlcnN0YW5kIEFuZCBSZWxhdGUgVG8sIEFuZCBNYXliZSBFdmVuIFRoZWlyIFBhcmVudHMgR2V0IEEgRGVlcGVyIE1lYW5pbmcgRnJvbSBJdC4gWW91IENhbiBIYXZlIEEgSGFyZCBEYXkgQXQgU2Nob29sIE9yIERheWNhcmUgQW5kIFlvdSBDYW4gUmlzZSBBYm92ZSBUaG9zZSBEaWZmaWN1bHRpZXMgQW5kIFlvdSBDYW4gQ29tZSBUaHJvdWdoIE9uIFRoZSBPdGhlciBTaWRlLiBJdCBEb2Vzbid0IE1lYW4gWW91J3JlIE5ldmVyIFNjYXJlZCwgSXQgRG9lc24ndCBNZWFuIFlvdSBEb24ndCBEb3VidCBZb3Vyc2VsZi4gQnV0LCBJZiBBdCBUaGUgRW5kIE9mIFRoZSBEYXksIFlvdSBSZWFsbHkgQmVsaWV2ZSBJbiBZb3Vyc2VsZiBBbmQgWW91IEhhdmUgUGVvcGxlIEFyb3VuZCBZb3UgV2hvIEJlbGlldmUgSW4gWW91LCBZb3UgQ2FuIE92ZXJjb21lIEl0LiI=,0
Base64,SW4gdGhlIFBlcnV2aWFuIGp1bmdsZSwgNi15ZWFyLW9sZCBEb3JhIE1hcnF1ZXosIGRhdWdodGVyIG9mIGp1bmdsZSBleHBsb3JlcnMgQ29sZSBhbmQgRWxlbmEsIGdvZXMgb24gYWR2ZW50dXJlcyB3aXRoIGhlciBtb25rZXkgZnJpZW5kIEJvb3RzLCBoZXIgNy15ZWFyLW9sZCBjb3VzaW4gRGllZ28sIGFuZCBpbWFnaW5hcnkgZnJpZW5kcyBCYWNrcGFjayBhbmQgTWFwIHdoaWxlIHRod2FydGluZyBTd2lwZXIgdGhlIHRoaWV2aW5nIGZveC4gT25lIGRheSwgRGllZ28gYW5kIGhpcyBmYW1pbHkgbGVhdmUgZm9yIExvcyBBbmdlbGVzIHdoaWxlIERvcmEgYW5kIGhlciBwYXJlbnRzIHJlbWFpbiBzZWFyY2hpbmcgZm9yIHRoZSBoaWRkZW4gSW5jYSBjaXR5IG9mIGdvbGQsIFBhcmFwYXRhLg0KDQpUZW4geWVhcnMgbGF0ZXIsIENvbGUgYW5kIEVsZW5hIGRlY2lwaGVyIHRoZSBsb2NhdGlvbiBvZiBQYXJhcGF0YS4gVGhleSBzZW5kIGEgbm93IDE2LXllYXItb2xkIERvcmEgdG8gc3RheSB3aXRoIERpZWdvJ3MgZmFtaWx5IGluIExvcyBBbmdlbGVzIHdoaWxlIHRoZXkgdHJhdmVsIHRvIHRoZSBsb3N0IGNpdHkuIEF0IERpZWdvJ3MgaGlnaCBzY2hvb2wsIERvcmEgbWVldHMgZmVsbG93IHN0dWRlbnRzIFNhbW15IGFuZCBSYW5keS4gU2FtbXkgc2VlcyBEb3JhIGFzIGEgcml2YWwgZHVlIHRvIGhlciBpbnRlbGxpZ2VuY2UsIHdoaWxlIFJhbmR5IGRldmVsb3BzIGEgY3J1c2ggb24gaGVyLiBEb3JhJ3MgZWNjZW50cmljIGJlaGF2aW9yIGN1bG1pbmF0ZXMgaW4gbW9ja2luZyBhbmQgbmFtZS1jYWxsaW5nIGJ5IHNvbWUgb2YgaGVyIG5ldyBjbGFzc21hdGVzIHdoZW4gc2hlIHB1YmxpY2x5IGRhbmNlcyB0byBhIGNvbmdhIHNvbmcgYXQgdGhlIHNjaG9vbCBkYW5jZS4gRW1iYXJyYXNzZWQsIERpZWdvIHRlbGxzIERvcmEgdGhhdCBzaGUgaXMgbm8gbG9uZ2VyIGluIHRoZSBqdW5nbGUsIHdoaWNoIGxlYWRzIHRvIGEgZmFsbG91dCBiZXR3ZWVuIHRoZW0uDQoNCk9uIGEgY2xhc3MgZmllbGQgdHJpcCB0byBhIG11c2V1bSwgRG9yYSwgRGllZ28sIFNhbW15LCBhbmQgUmFuZHkgYXJlIGx1cmVkIHRvIGl0cyBvZmYtZXhoaWJpdCBhcmNoaXZlcywgd2hlcmUgbWVyY2VuYXJpZXMgbGVkIGJ5IGEgbWFuIG5hbWVkIFBvd2VsbCBjYXB0dXJlIHRoZW0gYW5kIGZseSB0aGVtIHRvIFBlcnUuIFdoZW4gdGhleSBsYW5kLCBhIG1hbiBuYW1lZCBBbGVqYW5kcm8sIHdobyBjbGFpbXMgdG8gYmUgYSBmcmllbmQgb2YgRG9yYSdzIHBhcmVudHMsIGhlbHBzIHRoZW0gZXNjYXBlLiBUaGUgbWVyY2VuYXJpZXMsIGFpZGVkIGJ5IFN3aXBlciwgc3RlYWwgRG9yYSdzIG1hcC4gQWxlamFuZHJvIHJlcG9ydHMgdGhhdCBEb3JhJ3MgcGFyZW50cyBoYXZlIGdvbmUgbWlzc2luZyBhbmQgdGhlIG1lcmNlbmFyaWVzIGFyZSBzZWFyY2hpbmcgZm9yIHRoZW0gaW4gaG9wZXMgb2YgZ2V0dGluZyBpbnRvIFBhcmFwYXRhIHRvIHN0ZWFsIGl0cyB0cmVhc3VyZXMuIERvcmEgcmVzb2x2ZXMgdG8gZmluZCBoZXIgcGFyZW50cyBmaXJzdCB3aXRoIEFsZWphbmRybydzIGhlbHAsIGFuZCB0aGUgb3RoZXIgdGVlbnMgYWdyZWUuDQoNClRoZSBncm91cCB0cmF2ZWxzIHRocm91Z2ggcXVpY2tzYW5kLCBJbmNhIHJ1aW4gcHV6emxlcywgaGFsbHVjaW5hdGlvbi1pbmR1Y2luZyBzcG9yZXMgdGhhdCB0dXJuIHRoZW0gaW50byBhbmltYXRlZCBjaGFyYWN0ZXJzIGluIHRoZSBzdHlsZSBvZiB0aGUgb3JpZ2luYWwgY2FydG9vbiwgYW5kIGF0dGFja3MgZnJvbSBmb3Jlc3QgZ3VhcmRzIG9mIFBhcmFwYXRhLiBEdXJpbmcgdGhlIGpvdXJuZXksIFNhbW15IHdhcm1zIHVwIHRvIERvcmEsIHdobyByZWNvbmNpbGVzIHdpdGggRGllZ28gYW5kIG5vdGljZXMgaGVyIGNvdXNpbiBoYXMgYSBjcnVzaCBvbiBTYW1teS4gRG9yYSByZWFjaGVzIGhlciBwYXJlbnRzIG91dHNpZGUgdGhlIGJvcmRlcnMgb2YgUGFyYXBhdGEsIGJ1dCBBbGVqYW5kcm8sIHRoZSB0cnVlIGxlYWRlciBvZiB0aGUgbWVyY2VuYXJpZXMsIGNhcHR1cmVzIHRoZW0uIEJvb3RzIGhlbHBzIHRoZSB0ZWVucyBlc2NhcGUgYW5kIHJlc3RvcmVzIERvcmEncyBjb25maWRlbmNlOyBzaGUgcmVzb2x2ZXMgdG8gZmluZCB0aGUgd2F5IGluc2lkZSBQYXJhcGF0YSBzbyB0aGV5IGNhbiB1c2UgaXRzIHRyZWFzdXJlIHRvIGJhcmdhaW4gZm9yIEVsZW5hIGFuZCBDb2xlJ3MgcmVsZWFzZS4NCg0KSW5zaWRlIHRoZSBoaWRkZW4gY2l0eSwgRG9yYSBhbmQgdGhlIG90aGVycyBzb2x2ZSBpdHMgdGVtcGxlJ3MgcHV6emxlcyBhbmQgZG9kZ2UgaXRzIHRyYXBzLCBicmluZ2luZyB0aGVtIHRvIHRoZSBjZW50cmFsIHNocmluZS4gQWxlamFuZHJvLCBoYXZpbmcgc2VjcmV0bHkgZm9sbG93ZWQgdGhlbSwgYXJyaXZlcyBhcyB0aGUgZ3JvdXAgcmVhY2hlcyBpdHMgZmluYWwgdGVzdC4gSGUgdGhpbmtzIHRoYXQgdGhlIGdvbGQgaXMgdGhlIHJpZ2h0IGFuc3dlciBhZ2FpbnN0IERvcmEncyB3YXJuaW5ncyBhbmQgZmFsbHMgaW50byBhIHRyYXAuIFRoZSBzb2xkaWVycyBndWFyZGluZyBQYXJhcGF0YSwgaGF2aW5nIGFwcHJlaGVuZGVkIERvcmEncyBwYXJlbnRzIGFuZCB0aGUgbWVyY2VuYXJpZXMsIGNvbmZyb250IHRoZSB0ZWVucy4gRG9yYSBzcGVha3MgdG8gdGhlaXIgcXVlZW4gaW4gUXVlY2h1YSwgYXNzdXJpbmcgdGhhdCB0aGUgZ3JvdXAgb25seSBjYW1lIHRvIGxlYXJuIGFib3V0IHRoZSBhbmNpZW50IGNpdmlsaXphdGlvbi4gRG9yYSBmaWd1cmVzIG91dCB0aGUgYW5zd2VyIHRvIHRoZSB0ZXN0LCBhbmQgdGhlIEluY2FzIGFsbG93IGhlciBhbmQgZXZlcnlvbmUgdG8gaGF2ZSBhIHNpbmdsZSBnbGltcHNlIG9mIHRoZWlyIGdyZWF0ZXN0IHRyZWFzdXJlIHVudGlsIFN3aXBlciBhcHBlYXJzIGFuZCBzdGVhbHMgdGhlIHNtYWxsZXIgaWRvbCwgdGh1cyBhbmdlcmluZyB0aGUgZ29kcy4gQXMgQWxlamFuZHJvIGFuZCB0aGUgbWVyY2VuYXJpZXMgYXJlIHRha2VuIGF3YXksIERvcmEgcmVnYWlucyB0aGUgaWRvbCBhbmQgcHV0cyBpdCBiYWNrIGludG8gcGxhY2UuIEFmdGVyIHRoZSBncm91cCBsZWF2ZXMsIERpZWdvIGFuZCBTYW1teSBiZWNvbWUgYSBjb3VwbGUuIERvcmEncyBwYXJlbnRzIGFuZCB0aGUgdGVlbnMgYXJyaXZlIGF0IGhlciBqdW5nbGUgaG9tZS4gQ29sZSBhbmQgRWxlbmEgZGlzY3VzcyBnb2luZyBvbiBhbm90aGVyIGV4cGVkaXRpb24gYXMgYSBmYW1pbHksIGJ1dCBEb3JhIGRlY2lkZXMgdG8gcmV0dXJuIHRvIHNjaG9vbCBpbiBMb3MgQW5nZWxlcy4NCg0KRHVyaW5nIHRoZSBjcmVkaXRzLCBEb3JhIGFuZCBoZXIgZnJpZW5kcyBzaW5nICJXZSBEaWQgSXQiIGF0IHRoZSBoaWdoIHNjaG9vbCBkYW5jZSB0byBjZWxlYnJhdGUgdGhlaXIgdmljdG9yeSwgQWxlamFuZHJvIHJlbWFpbnMgYSBwcmlzb25lciBpbiBQYXJhcGF0YSBmb3IgYW5vdGhlciAxLDAwMCB5ZWFycywgYW5kIENvbGUgYW5kIEVsZW5hIHN0b3AgU3dpcGVyIGZyb20gcnVubmluZyBhd2F5IHdpdGggdGhlaXIgSW5jYW4gYXJ0aWZhY3Qu,0
Base64,S0VWSU4gRFVIQU5FWSBBUyBBIFdJTkRPVyBXQVNIRVI=,0
Base64,SklNTVkgS0lNTUVMIEFTIE1BUlRZIE1VQ0tSQUtFUiwgVEhFIFdJRy1XRUFSSU5HIE5FV1MgQU5DSE9SIE9GIFRIRSBBRFZFTlRVUkUgQ0lUWSBORVdTIE5FVFdPUksuIEtJTU1FTCBBTFNPIEhBRCBUUk9VQkxFIENPTlZJTkNJTkcgSElTIEtJRFMsIDQtWUVBUi1PTEQgQklMTFkgQU5EIDctWUVBUi1PTEQgSkFORSwgT0YgSElTIFJPTEUgSU4gVEhFIEZJTE0uICJJIEhBVkUgQkVFTiBURUxMSU5HIFRIRU0sIFRSWUlORyBUTyBFWFBMQUlOIFRPIFRIRU0gVEhBVCBEQUREWSdTIElOIFRIRSBQQVcgUEFUUk9MIE1PVklFLCIgVEhFIExBVEUtTklHSFQgSE9TVCBKT0tFUy4gIkknTSBIT1BFRlVMIFRISVMgV0lMTCBNQUtFIE1FIEEgQklHIFNIT1QsIEFUIExFQVNUIEZPUiBBIENPVVBMRSBPRiBEQVlTLiI=,0
Base64,S0lNIEtBUkRBU0hJQU4gQVMgREVMT1JFUywgQSBTQVNTWSBQT09ETEUgV0hPIElTIFdPUktJTkcgQVQgQU4gQU5JTUFMIFNIRUxURVIgQUZURVIgQkVJTkcgSkFJTEVEIElOIFRIRSBGVVpaWSBCVURESUVTIE9CRURJRU5DRSBTQ0hPT0wuIEtBUkRBU0hJQU4gU0FJRCBTSEUgV0FTIEVYQ0lURUQgVE8gVk9JQ0UgVEhFIFBBUlQsIFRIUklMTEVEIFRIQVQgSEVSIENISUxEUkVOIE5PVyBDT05TSURFUiBIRVIgQSAiQ09PTCBNT00uIg==,0
Base64,TUFSU0FJIE1BUlRJTiBBUyBMSUJFUlRZLCBBIFNQSVJJVEVEIExPTkctSEFJUkVEIERBQ0hTSFVORCBXSE8gR1JFVyBVUCBBTkQgTElWRVMgSU4gQURWRU5UVVJFIENJVFkgQU5EIEJFQ09NRVMgVEhFIE5FV0VTVCBNRU1CRVIgT0YgVEhFIFBBVyBQQVRST0wuIFNIRSBDT05TSURFUlMgVEhFIFRFQU0gVE8gQkUgSEVSIEhFUk9FUyBBTkQgV09SS1MgSEFSRCBUTyBLRUVQIFRIRSBDSVRZIENMRUFOLCBTSEUgQUxTTyBEUkVBTVMgT0YgQkVDT01JTkcgVEhFIFRFQU0nUyBNRU1CRVIgQkVGT1JFIEpPSU5JTkcgVEhFTSwgQU5EIENIQVNF4oCZUyBMT1ZFIElOVEVSRVNULiBTSEUgSVMgT1VUU1BPS0VOIEFORCBPRlRFTiBTTkFSS1MgQVQgT1RIRVIgUEVPUExFLiBNQVJUSU4gU0FJRCBUSElTIFBBUlRJQ1VMQVIgUk9MRSBXQVMgVU5JUVVFIEJFQ0FVU0UgSVQgSElUUyBDTE9TRSBUTyBIT01FLiBNQVJUSU4gRVhQUkVTU0VEIEhFUiBGRUVMSU5HUyBBQk9VVCBIRVIgUk9MRSwgIlNIRSdTIFNPIFdJTEQgQU5EIEEgRlJFRSBTUElSSVQuIFNIRSdTIFNPIEVORVJHRVRJQyBBTkQgRlVOLCBBTkQgSSBGRUVMIExJS0UgU0hFJ0QgQUNUVUFMTFkgTUFLRSBBIFBFUkZFQ1QgRklUIElOVE8gVEhFIFBBVyBQQVRST0wgQkVDQVVTRSBPRiBIT1cgQU1BWklORyBBTkQgV0lMRCBTSEUgSVMuIg==,0
Base64,SUFJTiBBUk1JVEFHRSBBUyBDSEFTRSwgQU4gQU1CSVRJT1VTIDctWUVBUi1PTEQgR0VSTUFOIFNIRVBIRVJEIElTIFRIRSBNQUlOIFBST1RBR09OSVNUIE9GIFRIRSBNT1ZJRSBXSE8gU0VSVkVTIEFTIEEgUE9MSUNFIFBVUC4gSEUgR1JFVyBVUCBPTiBUSEUgU1RSRUVUUyBPRiBBRFZFTlRVUkUgQ0lUWSwgR0lWSU5HIEhJTSBBICJTVFJPTkcgQ0hBUkFDVEVSIEFSQyBGT1IgVEhFIEZJTE0iLiBBUk1JVEFHRSBGT1VORCBUSEUgUk9MRSBTUEVDSUFMIEFORCBFTkpPWUFCTEUuIEhFIFNBSUQsICJJVCdTIEEgTkVXIENIQUxMRU5HRSBCRUNBVVNFIFlPVSBET04nVCBHRVQgVE8gQ09OVkVZIEFOWVRISU5HIFdJVEggWU9VUiBCT0RZIE1PVkVNRU5UU+KApiBUSEFUJ1MgQUxMIFRIRSBBTklNQVRPUidTIEpPQiwiIEhFIFRIRU4gRVhQTEFJTkVEOiAiWU9VIENBTiBPTkxZIFVTRSBZT1VSIFZPSUNFIFRPIENPTlZFWSBXSEFURVZFUiBZT1UnUkUgVFJZSU5HIFRPIFNIT1cuIEJVVCBJVCdTIFJFQUxMWSBGVU4gVE8gRE8gQU5JTUFUSU9OLiIgQVJNSVRBR0UgUkVQTEFDRVMgSlVTVElOIEtFTExZIEZST00gVEhFIFNFUklFUy4=,0
Base64,VVBPTiBTRUVJTkcgVEhFIEdMT1cgRlJPTSBBIFNBRkVUWSBMSUdIVCBPTiBSWURFUidTIFNVSVQsIENIQVNFIFJVU0hFUyBUTyBBIEdBUCBXSEVSRSBUSEUgVE9XRVIgSEFTIFNQTElULiBIRSBCRUNPTUVTIFdPUlJJRUQgQUJPVVQgR0VUVElORyBBQ1JPU1MgV0hFTiBIRSBIQVMgVE8gRElUQ0ggSElTIEdSQVBQTElORyBIT09LLCBCVVQgVEhFTiBSRU1FTUJFUlMgUllERVInUyBXT1JEUyBBQk9VVCBCUkFWRVJZIEFORCBUQUtFUyBBIExFQVAgT0YgRkFJVEggQUNST1NTIFRIRSBHQVAgQU5EIE1BTkFHRVMgVE8gR0VUIFRPIFRIRSBPVEhFUiBTSURFLiBTT09OIEhFIFJFQUNIRVMgUllERVIgQU5EIEhFTFBTIEhJTSBHRVQgVU5TVFVDSyBBTkQgVEhFWSBFU0NBUEUgVEhFIEJVSUxESU5HIFdISUxFIFNLWUUgVVNFUyBBIEtBTUlLQVpFLVNUWUxFIEFUVEFDSyBUTyBTQUNSSUZJQ0UgSEVSIEhFTElDT1BURVIgQU5EIERFU1RST1kgVEhFIENMT1VEIENBVENIRVIu,0
Base64,QVMgVEhFIFBVUFMgSEVMUCBUSEUgQ0lUSVpFTlMgVEFLRSBDT1ZFUiwgUllERVIgQVNDRU5EUyBUTyBIVU1ESU5HRVInUyBPRkZJQ0UgQU5EIENPTlZJTkNFUyBISU0gVE8gRVZBQ1VBVEUgQlkgR0VUVElORyBPTiBUSEUgRUxFVkFUT1IuIFJZREVSIE1BTlVBTExZIFJFTEVBU0VTIFRIRSBFTEVWQVRPUiBDQUJMRVMgVE8gUVVJQ0tMWSBMT1dFUiBIVU1ESU5HRVIgQU5EIEhJUyBLSVRURU5TIFRPIFRIRSBHUk9VTkQsIEFORCBUSEVOIFNUQVJUUyBSQVBQRUxMSU5HIERPV04gVEhFIFNIQUZULCBCVVQgVEhFIFRPV0VSIEdFVFMgQkxPV04gT1ZFUiBTSURFV0FZUyBBTkQgUllERVIgR0VUUyBUUkFQUEVELiBIQVZJTkcgU0VFTiBUSEUgVE9XRVIgRkFMTCwgQ0hBU0UgUlVTSEVTIFRPIFJFU0NVRSBISU0gQlkgVVNJTkcgU1VDVElPTi1DVVBQRUQgVElSRVMgT04gSElTIENBUidTIERFVEFDSEFCTEUgTU9UT1JDWUNMRSBUTyBSSURFIFNUUkFJR0hUIFVQIFRIRSBTSURFIE9GIFRIRSBXSU5ET1dTLg==,0
